modname:forgemultipartcbe

patch:id=patch0,Ox=0.132891,Oy=1.003906,Oz=0.593672,Ux=0.195313,Uy=1.003906,Uz=0.593672,Vx=0.132891,Vy=1.003906,Vz=0.562500,Umin=0.375000,Umax=0.375000,Vmin=0.562500,Vmax=0.562500,VmaxAtUMax=0.562500,VminAtUMax=0.562500,visibility=top
patch:id=patch1,Ox=0.632813,Oy=1.003906,Oz=0.976563,Ux=0.632813,Uy=1.003906,Uz=0.968672,Vx=0.570391,Vy=1.003906,Vz=0.976563,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch2,Ox=0.570391,Oy=1.003906,Oz=0.976563,Ux=0.570391,Uy=1.003906,Uz=0.937500,Vx=0.562500,Vy=1.003906,Vz=0.976563,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch3,Ox=-0.054609,Oy=1.003906,Oz=-0.898437,Ux=-0.054609,Uy=1.003906,Uz=-0.274693,Vx=0.944143,Vy=1.003906,Vz=-0.898437,Umin=0.937500,Umax=1.000000,Vmin=0.562500,Vmax=0.625000,VmaxAtUMax=0.625000,VminAtUMax=0.562500,visibility=top
patch:id=patch4,Ox=0.632813,Oy=1.003906,Oz=1.023438,Ux=0.632813,Uy=1.003906,Uz=1.015547,Vx=0.570391,Vy=1.003906,Vz=1.023438,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch5,Ox=0.570391,Oy=1.003906,Oz=1.023438,Ux=0.570391,Uy=1.003906,Uz=0.976563,Vx=0.562500,Vy=1.003906,Vz=1.023438,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch6,Ox=0.007891,Oy=1.003906,Oz=-0.039062,Ux=0.007891,Uy=1.003906,Uz=0.584682,Vx=1.006643,Vy=1.003906,Vz=-0.039062,Umin=0.125000,Umax=0.187500,Vmin=0.500000,Vmax=0.562500,VmaxAtUMax=0.562500,VminAtUMax=0.500000,visibility=top
patch:id=patch7,Ox=0.632813,Oy=1.003906,Oz=1.070313,Ux=0.632813,Uy=1.003906,Uz=1.062422,Vx=0.570391,Vy=1.003906,Vz=1.070313,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch8,Ox=0.570391,Oy=1.003906,Oz=1.070313,Ux=0.570391,Uy=1.003906,Uz=1.023438,Vx=0.562500,Vy=1.003906,Vz=1.070313,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch9,Ox=-0.054609,Oy=1.003906,Oz=-0.304687,Ux=-0.054609,Uy=1.003906,Uz=0.319057,Vx=0.944143,Vy=1.003906,Vz=-0.304687,Umin=0.437500,Umax=0.500000,Vmin=0.562500,Vmax=0.625000,VmaxAtUMax=0.625000,VminAtUMax=0.562500,visibility=top
patch:id=patch10,Ox=0.632813,Oy=1.003906,Oz=1.117188,Ux=0.632813,Uy=1.003906,Uz=1.109297,Vx=0.570391,Vy=1.003906,Vz=1.117188,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch11,Ox=0.570391,Oy=1.003906,Oz=1.117188,Ux=0.570391,Uy=1.003906,Uz=1.070313,Vx=0.562500,Vy=1.003906,Vz=1.117188,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch12,Ox=-0.054609,Oy=1.003906,Oz=-0.132812,Ux=-0.054609,Uy=1.003906,Uz=0.490932,Vx=0.944143,Vy=1.003906,Vz=-0.132812,Umin=0.312500,Umax=0.375000,Vmin=0.562500,Vmax=0.625000,VmaxAtUMax=0.625000,VminAtUMax=0.562500,visibility=top
patch:id=patch13,Ox=0.632813,Oy=1.003906,Oz=1.164063,Ux=0.632813,Uy=1.003906,Uz=1.156172,Vx=0.570391,Vy=1.003906,Vz=1.164063,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch14,Ox=0.570391,Oy=1.003906,Oz=1.164063,Ux=0.570391,Uy=1.003906,Uz=1.117188,Vx=0.562500,Vy=1.003906,Vz=1.164063,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch15,Ox=-0.054609,Oy=1.003906,Oz=-0.585937,Ux=-0.054609,Uy=1.003906,Uz=0.037807,Vx=0.944143,Vy=1.003906,Vz=-0.585937,Umin=0.812500,Umax=0.875000,Vmin=0.562500,Vmax=0.625000,VmaxAtUMax=0.625000,VminAtUMax=0.562500,visibility=top
patch:id=patch16,Ox=0.632813,Oy=1.003906,Oz=1.210938,Ux=0.632813,Uy=1.003906,Uz=1.203047,Vx=0.570391,Vy=1.003906,Vz=1.210938,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch17,Ox=0.570391,Oy=1.003906,Oz=1.210938,Ux=0.570391,Uy=1.003906,Uz=1.164063,Vx=0.562500,Vy=1.003906,Vz=1.210938,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch18,Ox=0.007891,Oy=1.003906,Oz=-0.039062,Ux=0.007891,Uy=1.003906,Uz=0.584682,Vx=1.006643,Vy=1.003906,Vz=-0.039062,Umin=0.312500,Umax=0.375000,Vmin=0.500000,Vmax=0.562500,VmaxAtUMax=0.562500,VminAtUMax=0.500000,visibility=top
patch:id=patch19,Ox=0.632813,Oy=1.003906,Oz=1.257813,Ux=0.632813,Uy=1.003906,Uz=1.249922,Vx=0.570391,Vy=1.003906,Vz=1.257813,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch20,Ox=0.570391,Oy=1.003906,Oz=1.257813,Ux=0.570391,Uy=1.003906,Uz=1.210938,Vx=0.562500,Vy=1.003906,Vz=1.257813,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch21,Ox=-0.242109,Oy=1.003906,Oz=0.898359,Ux=-0.179687,Uy=1.003906,Uz=0.898359,Vx=-0.242109,Vy=1.003906,Vz=0.882813,Umin=0.750000,Umax=0.750000,Vmin=0.562500,Vmax=0.562500,VmaxAtUMax=0.562500,VminAtUMax=0.562500,visibility=top
patch:id=patch22,Ox=0.632813,Oy=1.003906,Oz=1.281250,Ux=0.632813,Uy=1.003906,Uz=1.273359,Vx=0.570391,Vy=1.003906,Vz=1.281250,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch23,Ox=0.570391,Oy=1.003906,Oz=1.281250,Ux=0.570391,Uy=1.003906,Uz=1.257813,Vx=0.562500,Vy=1.003906,Vz=1.281250,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch24,Ox=0.257891,Oy=1.003906,Oz=0.867109,Ux=0.320313,Uy=1.003906,Uz=0.867109,Vx=0.257891,Vy=1.003906,Vz=0.843750,Umin=0.250000,Umax=0.250000,Vmin=0.500000,Vmax=0.500000,VmaxAtUMax=0.500000,VminAtUMax=0.500000,visibility=top
patch:id=patch25,Ox=0.632813,Oy=1.003906,Oz=1.312500,Ux=0.632813,Uy=1.003906,Uz=1.304609,Vx=0.570391,Vy=1.003906,Vz=1.312500,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch26,Ox=0.570391,Oy=1.003906,Oz=1.312500,Ux=0.570391,Uy=1.003906,Uz=1.281250,Vx=0.562500,Vy=1.003906,Vz=1.312500,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch27,Ox=-0.054609,Oy=1.003906,Oz=0.945234,Ux=0.007813,Uy=1.003906,Uz=0.945234,Vx=-0.054609,Vy=1.003906,Vz=0.937500,Umin=0.562500,Umax=0.562500,Vmin=0.562500,Vmax=0.562500,VmaxAtUMax=0.562500,VminAtUMax=0.562500,visibility=top
patch:id=patch28,Ox=0.632813,Oy=1.003906,Oz=1.328125,Ux=0.632813,Uy=1.003906,Uz=1.320234,Vx=0.570391,Vy=1.003906,Vz=1.328125,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch29,Ox=0.570391,Oy=1.003906,Oz=1.328125,Ux=0.570391,Uy=1.003906,Uz=1.312500,Vx=0.562500,Vy=1.003906,Vz=1.328125,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch30,Ox=0.007891,Oy=1.003906,Oz=0.390625,Ux=0.007891,Uy=1.003906,Uz=1.014369,Vx=1.006643,Vy=1.003906,Vz=0.390625,Umin=0.000000,Umax=0.062500,Vmin=0.500000,Vmax=0.562500,VmaxAtUMax=0.562500,VminAtUMax=0.500000,visibility=top
patch:id=patch31,Ox=0.632813,Oy=1.003906,Oz=1.375000,Ux=0.632813,Uy=1.003906,Uz=1.367109,Vx=0.570391,Vy=1.003906,Vz=1.375000,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch32,Ox=0.570391,Oy=1.003906,Oz=1.375000,Ux=0.570391,Uy=1.003906,Uz=1.328125,Vx=0.562500,Vy=1.003906,Vz=1.375000,Umin=0.937500,Umax=0.937500,Vmin=0.062500,Vmax=0.062500,VmaxAtUMax=0.062500,VminAtUMax=0.062500,visibility=top
patch:id=patch33,Ox=-0.054609,Oy=1.003906,Oz=0.375000,Ux=-0.054609,Uy=1.003906,Uz=0.998744,Vx=0.944143,Vy=1.003906,Vz=0.375000,Umin=0.062500,Umax=0.125000,Vmin=0.562500,Vmax=0.625000,VmaxAtUMax=0.625000,VminAtUMax=0.562500,visibility=top
